date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:35:58	11567/11567	---M-Z	200	added ('OK')	text/html	date:Mon,%2023%20Sep%202024%2019:21:22%20GMT	https://seupagamento-oficial.site/index.html	C:/Meus%20Sites/correrio/seupagamento-oficial.site/index.html	(from )
13:35:58	1251/1251	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2026%20Sep%202024%2016:35:58%20GMT	https://seupagamento-oficial.site/robots.txt		(from )
13:35:58	366531/366531	---M--	200	added ('OK')	application/octet-stream	date:Mon,%2023%20Sep%202024%2019:21:24%20GMT	https://seupagamento-oficial.site/3.4.5	C:/Meus%20Sites/correrio/seupagamento-oficial.site/3.4.5	(from https://seupagamento-oficial.site/index.html)
13:35:59	59296/59296	---M-Z	200	added ('OK')	text/css	date:Mon,%2023%20Sep%202024%2019:23:14%20GMT	https://seupagamento-oficial.site/ajax/libs/font-awesome/5.15.3/css/all.min.css	C:/Meus%20Sites/correrio/seupagamento-oficial.site/ajax/libs/font-awesome/5.15.3/css/all.min.css	(from https://seupagamento-oficial.site/index.html)
13:35:59	198/198	---M--	200	added ('OK')	image/svg+xml	date:Tue,%2024%20Sep%202024%2017:02:14%20GMT	https://seupagamento-oficial.site/ect/img/menu.svg	C:/Meus%20Sites/correrio/seupagamento-oficial.site/ect/img/menu.svg	(from https://seupagamento-oficial.site/index.html)
13:35:59	5329/5329	---M-Z	200	added ('OK')	image/svg+xml	date:Mon,%2023%20Sep%202024%2019:23:14%20GMT	https://seupagamento-oficial.site/img/correios.svg	C:/Meus%20Sites/correrio/seupagamento-oficial.site/img/correios.svg	(from https://seupagamento-oficial.site/index.html)
13:36:00	41268/41268	---M-Z	200	added ('OK')	text/html	date:Tue,%2024%20Sep%202024%2016:56:22%20GMT	https://seupagamento-oficial.site/resultado/index.html	C:/Meus%20Sites/correrio/seupagamento-oficial.site/resultado/index.html	(from https://seupagamento-oficial.site/index.html)
13:36:00	1251/1251	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2026%20Sep%202024%2016:36:00%20GMT	https://seupagamento-oficial.site/oferta50/index.html	C:/Meus%20Sites/correrio/seupagamento-oficial.site/oferta50/index.html	(from https://seupagamento-oficial.site/index.html)
13:36:00	134346/134346	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Mon,%2023%20Sep%202024%2019:23:14%20GMT	https://seupagamento-oficial.site/ajax/libs/font-awesome/5.15.3/webfonts/fa-brands-400.eot	C:/Meus%20Sites/correrio/seupagamento-oficial.site/ajax/libs/font-awesome/5.15.3/webfonts/fa-brands-400.eot	(from https://seupagamento-oficial.site/ajax/libs/font-awesome/5.15.3/css/all.min.css)
13:36:00	134346/134346	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Mon,%2023%20Sep%202024%2019:23:14%20GMT	https://seupagamento-oficial.site/ajax/libs/font-awesome/5.15.3/webfonts/fa-brands-400-1.eot	C:/Meus%20Sites/correrio/seupagamento-oficial.site/ajax/libs/font-awesome/5.15.3/webfonts/fa-brands-400-1.eot	(from https://seupagamento-oficial.site/ajax/libs/font-awesome/5.15.3/css/all.min.css)
13:36:00	76764/76764	---M--	200	added ('OK')	font/woff2	date:Mon,%2023%20Sep%202024%2019:23:14%20GMT	https://seupagamento-oficial.site/ajax/libs/font-awesome/5.15.3/webfonts/fa-brands-400.woff2	C:/Meus%20Sites/correrio/seupagamento-oficial.site/ajax/libs/font-awesome/5.15.3/webfonts/fa-brands-400.woff2	(from https://seupagamento-oficial.site/ajax/libs/font-awesome/5.15.3/css/all.min.css)
13:36:01	90060/90060	---M--	200	added ('OK')	font/woff	date:Mon,%2023%20Sep%202024%2019:23:14%20GMT	https://seupagamento-oficial.site/ajax/libs/font-awesome/5.15.3/webfonts/fa-brands-400.woff	C:/Meus%20Sites/correrio/seupagamento-oficial.site/ajax/libs/font-awesome/5.15.3/webfonts/fa-brands-400.woff	(from https://seupagamento-oficial.site/ajax/libs/font-awesome/5.15.3/css/all.min.css)
13:36:01	134040/134040	---M--	200	added ('OK')	font/ttf	date:Mon,%2023%20Sep%202024%2019:23:14%20GMT	https://seupagamento-oficial.site/ajax/libs/font-awesome/5.15.3/webfonts/fa-brands-400.ttf	C:/Meus%20Sites/correrio/seupagamento-oficial.site/ajax/libs/font-awesome/5.15.3/webfonts/fa-brands-400.ttf	(from https://seupagamento-oficial.site/ajax/libs/font-awesome/5.15.3/css/all.min.css)
13:36:01	747545/747545	---M-Z	200	added ('OK')	image/svg+xml	date:Mon,%2023%20Sep%202024%2019:23:14%20GMT	https://seupagamento-oficial.site/ajax/libs/font-awesome/5.15.3/webfonts/fa-brands-400.svg	C:/Meus%20Sites/correrio/seupagamento-oficial.site/ajax/libs/font-awesome/5.15.3/webfonts/fa-brands-400.svg	(from https://seupagamento-oficial.site/ajax/libs/font-awesome/5.15.3/css/all.min.css)
13:36:01	34034/34034	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Mon,%2023%20Sep%202024%2019:23:14%20GMT	https://seupagamento-oficial.site/ajax/libs/font-awesome/5.15.3/webfonts/fa-regular-400.eot	C:/Meus%20Sites/correrio/seupagamento-oficial.site/ajax/libs/font-awesome/5.15.3/webfonts/fa-regular-400.eot	(from https://seupagamento-oficial.site/ajax/libs/font-awesome/5.15.3/css/all.min.css)
